lon,lat,info
113.787971,22.737583,i24598-o2-h-3
113.821960,22.737583,i24599-o1-h-2
113.823853,22.737583,i24600-o2-h-2
113.834236,22.737583,i24601-o2-h-1
113.885223,22.737583,i24602-o1-h12
113.788918,22.738527,i24653-o2-h-3
113.821960,22.738527,i24654-o1-h-3
113.822906,22.738527,i24655-o1-h-3
113.823853,22.738527,i24656-o2-h-3
113.833290,22.738527,i24657-o2-h-1
113.886162,22.738527,i24658-o1-h11
113.768143,22.739471,i24713-o1-h-2
113.788918,22.739471,i24714-o2-h-3
113.823853,22.739471,i24715-o2-h-3
113.832352,22.739471,i24716-o2-h-1
113.886162,22.739471,i24717-o1-h11
113.766258,22.739471,i24776-o1-h-2
113.788918,22.739471,i24777-o2-h-3
113.824799,22.739471,i24778-o2-h-3
113.832352,22.739471,i24779-o2-h-1
113.886162,22.739471,i24780-o1-h11
113.755875,22.740416,i24868-o1-h-4
113.757759,22.740416,i24869-o4-h-10
113.765312,22.740416,i24870-o1-h-2
